"ID","Set Date","Net","Set Time","Set Flow Rotor Count","Set 30 Seconds Count","Set Rotor Delta","Water Temperature on Set","Water Temperature on Pull","Pull Time","Pull Flow Rotor Count","Pull 30 sec Rotor Count","Pull Rotor Delta","Comments","Examined","Larvae Found","Cod Confirmed","Larvae Comments","Weather","cSettime","cPulltime","Soak Time","Pull Date","Source","Depth (m)","Total Rotor Delta","Delta per Hour","Average set and pull 30 sec delta","Av rotor if over whole soak time","Maccullochella larvae","Perca larvae","Cyprinus larvae","Other species","Location","SoakHours","OrigTotalRotor","YearOnly","Day of Year","CreatedDate","SiteName"
93,5/10/2011 0:00:00,"Drift net 2",30/12/1899 17:00:00,185466,,,,,30/12/1899 8:30:00,,201354,,"15888",0,0,0,,,5/10/2011 17:00:00,6/10/2011 8:30:00,30/12/1899 15:30:00,6/10/2011 0:00:00,,,15888.00,1059.20,,,0,,,,4,15.49,15888,2011,278,,"Kambah Pool"
94,6/10/2011 0:00:00,"Eel net",30/12/1899 17:00:00,,,,,,30/12/1899 8:30:00,,,,,0,0,0,,,6/10/2011 17:00:00,7/10/2011 8:30:00,30/12/1899 15:30:00,7/10/2011 0:00:00,,,,,,,0,,,,5,15.49,,2011,279,,"Bullen Range"
95,6/10/2011 0:00:00,"Drift net 1",30/12/1899 17:00:00,266430,,,,,30/12/1899 8:30:00,,470992,,"204562",0,0,0,,,6/10/2011 17:00:00,7/10/2011 8:30:00,30/12/1899 15:30:00,7/10/2011 0:00:00,,,204562.00,13637.46,,,0,,,,5,15.49,204562,2011,279,,"Bullen Range"
96,6/10/2011 0:00:00,"Drift net 2",30/12/1899 17:00:00,210405,,,,,30/12/1899 8:30:00,,334718,,"124313",0,0,0,,,6/10/2011 17:00:00,7/10/2011 8:30:00,30/12/1899 15:30:00,7/10/2011 0:00:00,,,124313.00,8287.53,,,0,,,,5,15.49,124313,2011,279,,"Bullen Range"
97,11/10/2011 0:00:00,"Eel net",30/12/1899 17:00:00,,,,,,30/12/1899 8:30:00,,,,,0,0,0,,,11/10/2011 17:00:00,12/10/2011 8:30:00,30/12/1899 15:30:00,12/10/2011 0:00:00,,,,,,,0,,,,6,15.49,,2011,284,,"Nerreman"
98,11/10/2011 0:00:00,"Drift net 1",30/12/1899 17:00:00,471048,,,,,30/12/1899 8:00:00,,535259,,"64211",0,0,0,,,11/10/2011 17:00:00,12/10/2011 8:00:00,30/12/1899 15:00:00,12/10/2011 0:00:00,,,64211.00,4280.73,,,0,,,,6,15.00,64211,2011,284,,"Nerreman"
99,11/10/2011 0:00:00,"Drift net 2",30/12/1899 17:00:00,334735,,,,,30/12/1899 8:00:00,,445389,,"110654",0,0,0,,,11/10/2011 17:00:00,12/10/2011 8:00:00,30/12/1899 15:00:00,12/10/2011 0:00:00,,,110654.00,7376.93,,,0,,,,6,15.00,110654,2011,284,,"Nerreman"
100,12/10/2011 0:00:00,"Eel net",30/12/1899 17:00:00,,,,,,30/12/1899 8:30:00,,,,,0,0,0,,,12/10/2011 17:00:00,13/10/2011 8:30:00,30/12/1899 15:30:00,13/10/2011 0:00:00,,,,,,,0,,,,1,15.49,,2011,285,,"Tharwa Sandwash"
101,12/10/2011 0:00:00,"Drift net 1",30/12/1899 17:30:00,535330,,,,,30/12/1899 8:00:00,,647423,,"112093",0,0,0,,,12/10/2011 17:30:00,13/10/2011 8:00:00,30/12/1899 14:30:00,13/10/2011 0:00:00,,,112093.00,8006.64,,,0,,,,1,14.50,112093,2011,285,,"Tharwa Sandwash"
102,12/10/2011 0:00:00,"Drift net 2",30/12/1899 17:30:00,445437,,,,,30/12/1899 8:00:00,,490744,,"45307",0,0,0,,,12/10/2011 17:30:00,13/10/2011 8:00:00,30/12/1899 14:30:00,13/10/2011 0:00:00,,,45307.00,3236.21,,,0,,,,1,14.50,45307,2011,285,,"Tharwa Sandwash"
