"","lookupVariable","lookupValue","newVariable","newValue","source"
"152","LarvalID",240,"Delta15N",14.18375177,"database"
"153","LarvalID",241,"Delta15N",18.59215924,"database"
"154","LarvalID",242,"Delta15N",13.84635368,"database"
"155","LarvalID",243,"Delta15N",9.860217886,"database"
"156","LarvalID",244,"Delta15N",13.39545756,"database"
"157","LarvalID",245,"Delta15N",13.60840751,"database"
"158","LarvalID",246,"Delta15N",14.12310603,"database"
"159","LarvalID",247,"Delta15N",13.54669793,"database"
"160","LarvalID",248,"Delta15N",9.067427379,"database"
"161","LarvalID",249,"Delta15N",10.43021239,"database"
"162","LarvalID",250,"Delta15N",13.89262161,"database"
"163","LarvalID",251,"Delta15N",9.138066353,"database"
"164","LarvalID",252,"Delta15N",9.071573432,"database"
"165","LarvalID",253,"Delta15N",9.979433097,"database"
"166","LarvalID",254,"Delta15N",13.33407974,"database"
"167","LarvalID",255,"Delta15N",13.41102977,"database"
"168","LarvalID",256,"Delta15N",13.76982579,"database"
"169","LarvalID",257,"Delta15N",12.92374849,"database"
"170","LarvalID",258,"Delta15N",13.82588597,"database"
"171","LarvalID",259,"Delta15N",13.05015914,"database"
"172","LarvalID",260,"Delta15N",14.10285035,"database"
"173","LarvalID",261,"Delta15N",13.60528394,"database"
"174","LarvalID",262,"Delta15N",13.3652713,"database"
"175","LarvalID",263,"Delta15N",13.57007984,"database"
"176","LarvalID",264,"Delta15N",13.30270684,"database"
"177","LarvalID",265,"Delta15N",17.87535635,"database"
"178","LarvalID",266,"Delta15N",12.63170471,"database"
"179","LarvalID",267,"Delta15N",13.20139954,"database"
"180","LarvalID",268,"Delta15N",13.17941191,"database"
"181","LarvalID",269,"Delta15N",13.02122469,"database"
"182","LarvalID",270,"Delta15N",15.10245426,"database"
"183","LarvalID",271,"Delta15N",15.18696151,"database"
"184","LarvalID",272,"Delta15N",13.30495072,"database"
"185","LarvalID",273,"Delta15N",14.00696556,"database"
"186","LarvalID",274,"Delta15N",15.12429252,"database"
"187","LarvalID",275,"Delta15N",13.62900452,"database"
"188","LarvalID",276,"Delta15N",13.62591909,"database"
"189","LarvalID",277,"Delta15N",15.30738958,"database"
"190","LarvalID",278,"Delta15N",15.26099724,"database"
"191","LarvalID",279,"Delta15N",15.34469516,"database"
"192","LarvalID",280,"Delta15N",12.84945281,"database"
"193","LarvalID",185,"CNRatio",3.228494234,"database"
"194","LarvalID",186,"CNRatio",3.146348976,"database"
"195","LarvalID",187,"CNRatio",3.152389492,"database"
"196","LarvalID",188,"CNRatio",3.196372529,"database"
"197","LarvalID",189,"CNRatio",3.194747163,"database"
"198","LarvalID",190,"CNRatio",3.171354096,"database"
"199","LarvalID",191,"CNRatio",3.203815029,"database"
"200","LarvalID",192,"CNRatio",3.238758517,"database"
"201","LarvalID",193,"CNRatio",3.198185266,"database"
"202","LarvalID",194,"CNRatio",3.219838563,"database"
"203","LarvalID",195,"CNRatio",3.285132337,"database"
"204","LarvalID",196,"CNRatio",3.290962397,"database"
"205","LarvalID",197,"CNRatio",3.312431316,"database"
"206","LarvalID",198,"CNRatio",3.188240347,"database"
"207","LarvalID",199,"CNRatio",3.291391827,"database"
"208","LarvalID",200,"CNRatio",3.18396827,"database"
"209","LarvalID",201,"CNRatio",3.209760812,"database"
"210","LarvalID",202,"CNRatio",3.225787686,"database"
"211","LarvalID",203,"CNRatio",3.216015473,"database"
"212","LarvalID",204,"CNRatio",3.207492684,"database"
"213","LarvalID",205,"CNRatio",3.163301713,"database"
"214","LarvalID",206,"CNRatio",3.129552904,"database"
"215","LarvalID",207,"CNRatio",3.124269916,"database"
"216","LarvalID",208,"CNRatio",3.123127173,"database"
"217","LarvalID",209,"CNRatio",3.134042694,"database"
"218","LarvalID",210,"CNRatio",3.161319458,"database"
"219","LarvalID",211,"CNRatio",3.059536647,"database"
"220","LarvalID",212,"CNRatio",3.071261078,"database"
"221","LarvalID",213,"CNRatio",3.138183903,"database"
"222","LarvalID",214,"CNRatio",3.117601999,"database"
"223","LarvalID",215,"CNRatio",3.221161367,"database"
"224","LarvalID",216,"CNRatio",3.172320631,"database"
"225","LarvalID",217,"CNRatio",3.219856271,"database"
"226","LarvalID",218,"CNRatio",3.190503716,"database"
"227","LarvalID",219,"CNRatio",3.147094824,"database"
"228","LarvalID",220,"CNRatio",3.186983438,"database"
"229","LarvalID",221,"CNRatio",3.213324095,"database"
"230","LarvalID",222,"CNRatio",4.518357308,"database"
"231","LarvalID",223,"CNRatio",3.271878249,"database"
"232","LarvalID",224,"CNRatio",3.441723386,"database"
