241,"Angle Crossing",19.11,297.88,10.01,287.87
242,"Angle Crossing",18.07,298.92,10.01,288.90
243,"Angle Crossing",,,10.01,
244,"Angle Crossing",17.48,299.51,10.01,289.50
245,"Angle Crossing",20.44,296.55,10.01,286.54
246,"Angle Crossing",18.07,298.92,10.01,288.90
247,"Angle Crossing",18.66,298.33,10.01,288.31
248,"Angle Crossing",13.04,303.95,10.01,293.93
249,"Angle Crossing",,,10.01,
250,"Angle Crossing",17.78,299.21,10.01,289.20
251,"Angle Crossing",8.90,308.09,10.01,298.07
252,"Angle Crossing",9.49,307.50,10.01,297.48
253,"Angle Crossing",9.20,307.79,10.01,297.78
254,"Angle Crossing",17.18,299.81,10.01,289.79
255,"Angle Crossing",16.89,300.10,10.01,290.09
256,"Angle Crossing",16.89,300.10,10.01,290.09
257,"Angle Crossing",18.37,300.62,9.72,290.89
258,"Angle Crossing",20.14,298.85,9.72,289.12
259,"Angle Crossing",18.37,300.62,9.72,290.89
260,"Angle Crossing",19.55,299.44,9.72,289.71
261,"Angle Crossing",18.66,300.33,9.72,290.60
262,"Angle Crossing",12.45,309.54,8.82,300.72
263,"Angle Crossing",12.75,309.24,8.82,300.42
264,"Angle Crossing",20.73,301.26,8.82,292.44
265,"Angle Crossing",14.52,307.47,8.82,298.65
266,"Angle Crossing",21.62,300.37,8.82,291.55
267,"Angle Crossing",11.86,311.13,7.83,303.30
268,"Angle Crossing",18.37,304.62,7.83,296.79
269,"Angle Crossing",23.10,299.89,7.83,292.06
270,"Angle Crossing",14.52,308.47,7.83,300.63
271,"Angle Crossing",14.82,308.17,7.83,300.34
272,"Angle Crossing",14.23,308.76,7.83,300.93
273,"Angle Crossing",19.85,303.14,7.83,295.31
274,"Angle Crossing",15.71,307.28,7.83,299.45
275,"Angle Crossing",10.97,313.02,6.91,306.10
276,"Angle Crossing",12.45,311.54,6.91,304.62
277,"Angle Crossing",16.59,307.40,6.91,300.48
278,"Angle Crossing",16.59,307.40,6.91,300.48
279,"Angle Crossing",17.18,306.81,6.91,299.89
280,"Angle Crossing",14.52,310.47,6.95,303.51
281,"Angle Crossing",15.71,309.28,6.95,302.33
282,"Angle Crossing",13.63,311.36,6.95,304.40
283,"Angle Crossing",14.52,310.47,6.95,303.51
284,"Angle Crossing",14.82,310.17,6.95,303.21
285,"Angle Crossing",15.41,310.58,6.89,303.68
286,"Angle Crossing",18.37,307.62,6.89,300.72
287,"Angle Crossing",12.75,313.24,6.89,306.34
288,"Angle Crossing",12.16,313.83,6.89,306.94
289,"Angle Crossing",13.93,312.06,6.89,305.16
290,"Angle Crossing",20.73,308.26,7.61,300.64
